career,required_subjects,mapped_interest_career,mapped_employment_career,question_id,interest_question,career_options,career_name,sector,estimated_employment_rate
software engineer,"Mathematics, Computer Science, Further Mathematics, Physics","['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,Technology,89
data analyst,"Mathematics, Statistics, Computer Science","['software engineer', 'data analyst', 'lawyer', 'engineer']",data analyst,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",data analyst,Technology,80
lawyer,"English Literature, History, Economics, French","['software engineer', 'data analyst', 'lawyer', 'engineer']",lawyer,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",lawyer,Legal,40
engineer,"Mathematics, Physics, Chemistry, Technical Drawing","['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,Technology,89
medical doctor,"Biology, Chemistry, Physics","['medical doctor', 'nurse', 'psychologist', 'counselor']",doctor,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",doctor,Healthcare,89
nurse,"Biology, Chemistry","['medical doctor', 'nurse', 'psychologist', 'counselor']",nurse,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",nurse,Healthcare,75
psychologist,"Biology, Psychology, Mathematics","['medical doctor', 'nurse', 'psychologist', 'counselor']",psychologist,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",psychologist,Social Services,73
counselor,"Psychology, English Literature, Biology","['medical doctor', 'nurse', 'psychologist', 'counselor']",sculptor,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",sculptor,Creative Arts,47
teacher,Any subject studied at A-level (match to that subject),"['teacher', 'lecturer', 'trainer', 'advisor']",teacher,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",teacher,Education,77
lecturer,Any subject studied at A-level (match to that subject),"['teacher', 'lecturer', 'trainer', 'advisor']",lecturer,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",lecturer,Education,80
trainer,"Business, Education, ICT","['teacher', 'lecturer', 'trainer', 'advisor']",painter,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",painter,Creative Arts,49
advisor,"Economics, Sociology, Psychology, Education","['teacher', 'lecturer', 'trainer', 'advisor']",tailor,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",tailor,Craftsmanship,58
entrepreneur,"Economics, Commerce, Mathematics, Business","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",interpreter,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",interpreter,Language Services,40
business manager,"Economics, Commerce, Accounting","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",logistics manager,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",logistics manager,Business,66
startup founder,"Business, Computer Science, Economics","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",bartender,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",bartender,Hospitality,46
marketing manager,"Economics, Business, English","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",marketing officer,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",marketing officer,Business,68
mechanical engineer,"Mathematics, Physics, Technical Drawing","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",mechanical technician,5,"Are you interested in working with machines, electronics, or fixing things?","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",mechanical technician,Engineering,91
technician,"Physics, Mathematics, Technical Drawing","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",lab technician,5,"Are you interested in working with machines, electronics, or fixing things?","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",lab technician,Science,48
electrician,"Physics, Technical Drawing","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",electrician,5,"Are you interested in working with machines, electronics, or fixing things?","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",electrician,Technical Trades,51
automotive engineer,"Mathematics, Physics, Technical Drawing","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",civil engineer,5,"Are you interested in working with machines, electronics, or fixing things?","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",civil engineer,Engineering,90
graphic designer,"Art, ICT, English","['graphic designer', 'fashion designer', 'animator', 'music producer']",graphic designer,6,"Do you enjoy creating art, music, or visual designs?","['graphic designer', 'fashion designer', 'animator', 'music producer']",graphic designer,Creative Arts,43
fashion designer,"Art, Textiles, Entrepreneurship","['graphic designer', 'fashion designer', 'animator', 'music producer']",fashion designer,6,"Do you enjoy creating art, music, or visual designs?","['graphic designer', 'fashion designer', 'animator', 'music producer']",fashion designer,Creative Arts,48
animator,"Art, Computer Science","['graphic designer', 'fashion designer', 'animator', 'music producer']",animator,6,"Do you enjoy creating art, music, or visual designs?","['graphic designer', 'fashion designer', 'animator', 'music producer']",animator,Creative Arts,47
music producer,"Music, ICT","['graphic designer', 'fashion designer', 'animator', 'music producer']",musician,6,"Do you enjoy creating art, music, or visual designs?","['graphic designer', 'fashion designer', 'animator', 'music producer']",musician,Creative Arts,46
journalist,"English, Literature, History","['journalist', 'author', 'copywriter', 'editor']",journalist,7,"Are you interested in writing, reading, or telling stories?","['journalist', 'author', 'copywriter', 'editor']",journalist,Media,44
author,"English, Literature, Philosophy","['journalist', 'author', 'copywriter', 'editor']",actor,7,"Are you interested in writing, reading, or telling stories?","['journalist', 'author', 'copywriter', 'editor']",actor,Creative Arts,55
copywriter,"English, Literature","['journalist', 'author', 'copywriter', 'editor']",waiter,7,"Are you interested in writing, reading, or telling stories?","['journalist', 'author', 'copywriter', 'editor']",waiter,Hospitality,52
editor,"English, Literature","['journalist', 'author', 'copywriter', 'editor']",editor,7,"Are you interested in writing, reading, or telling stories?","['journalist', 'author', 'copywriter', 'editor']",editor,Media,52
tour guide,"Geography, History, French, English","['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",tour guide,8,Do you want to travel and explore new cultures?,"['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",tour guide,Tourism,43
travel blogger,"English, ICT, Geography","['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",hotel manager,8,Do you want to travel and explore new cultures?,"['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",hotel manager,Tourism,49
flight attendant,"English, French, Geography","['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",flight attendant,8,Do you want to travel and explore new cultures?,"['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",flight attendant,Transport,41
cultural ambassador,"English, History, Geography","['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",doctor,8,Do you want to travel and explore new cultures?,"['tour guide', 'travel blogger', 'flight attendant', 'cultural ambassador']",doctor,Healthcare,89
social worker,"Sociology, Psychology, English","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",social worker,9,"Are you passionate about justice, laws, or human rights?","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",social worker,Social Services,64
policy analyst,"Economics, Political Science, History","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",cybersecurity analyst,9,"Are you passionate about justice, laws, or human rights?","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",cybersecurity analyst,Technology,80
human rights advocate,"Law, Political Science, History","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",doctor,9,"Are you passionate about justice, laws, or human rights?","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",doctor,Healthcare,89
accountant,"Mathematics, Accounting, Economics","['accountant', 'financial analyst', 'banker', 'economist']",accountant,10,"Would you like to work with money, budgeting, or finance?","['accountant', 'financial analyst', 'banker', 'economist']",accountant,Finance,60
financial analyst,"Mathematics, Economics, Accounting","['accountant', 'financial analyst', 'banker', 'economist']",data analyst,10,"Would you like to work with money, budgeting, or finance?","['accountant', 'financial analyst', 'banker', 'economist']",data analyst,Technology,80
banker,"Economics, Mathematics, Commerce","['accountant', 'financial analyst', 'banker', 'economist']",bank teller,10,"Would you like to work with money, budgeting, or finance?","['accountant', 'financial analyst', 'banker', 'economist']",bank teller,Finance,62
economist,"Economics, Mathematics, Statistics","['accountant', 'financial analyst', 'banker', 'economist']",economist,10,"Would you like to work with money, budgeting, or finance?","['accountant', 'financial analyst', 'banker', 'economist']",economist,Finance,72
agricultural engineer,"Agriculture, Biology, Chemistry","['agricultural engineer', 'environmental scientist', 'geologist', 'wildlife officer']",civil engineer,11,Do you enjoy working outdoors or with nature?,"['agricultural engineer', 'environmental scientist', 'geologist', 'wildlife officer']",civil engineer,Engineering,90
environmental scientist,"Biology, Geography, Chemistry","['agricultural engineer', 'environmental scientist', 'geologist', 'wildlife officer']",environmental scientist,11,Do you enjoy working outdoors or with nature?,"['agricultural engineer', 'environmental scientist', 'geologist', 'wildlife officer']",environmental scientist,Science,51
geologist,"Geology, Geography, Physics","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",geologist,22,"Are you interested in fashion, beauty, or personal care?","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",geologist,Science,48
wildlife officer,"Biology, Geography","['agricultural engineer', 'environmental scientist', 'geologist', 'wildlife officer']",police officer,11,Do you enjoy working outdoors or with nature?,"['agricultural engineer', 'environmental scientist', 'geologist', 'wildlife officer']",police officer,Public Service,67
community development officer,"Sociology, Economics, Geography","['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",police officer,12,Do you want to help improve your community or country?,"['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",police officer,Public Service,67
ngo worker,"Sociology, Development Studies, English","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",ngo worker,9,"Are you passionate about justice, laws, or human rights?","['lawyer', 'social worker', 'policy analyst', 'human rights advocate']",ngo worker,Social Services,63
public administrator,"Economics, Geography, Civic Education","['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",network administrator,12,Do you want to help improve your community or country?,"['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",network administrator,Technology,86
policy advisor,"Economics, Political Science, History","['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",editor,12,Do you want to help improve your community or country?,"['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",editor,Media,52
project manager,"Mathematics, Business, ICT","['project manager', 'operations manager', 'hr manager', 'administrator']",hotel manager,13,"Do you like managing people, schedules, or resources?","['project manager', 'operations manager', 'hr manager', 'administrator']",hotel manager,Tourism,49
operations manager,"Business, Mathematics, Economics","['project manager', 'operations manager', 'hr manager', 'administrator']",logistics manager,13,"Do you like managing people, schedules, or resources?","['project manager', 'operations manager', 'hr manager', 'administrator']",logistics manager,Business,66
hr manager,"Business, Psychology, English","['project manager', 'operations manager', 'hr manager', 'administrator']",logistics manager,13,"Do you like managing people, schedules, or resources?","['project manager', 'operations manager', 'hr manager', 'administrator']",logistics manager,Business,66
administrator,"Business, Economics, ICT","['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",network administrator,12,Do you want to help improve your community or country?,"['community development officer', 'ngo worker', 'public administrator', 'policy advisor']",network administrator,Technology,86
biologist,"Biology, Chemistry","['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",biologist,14,Are you interested in understanding how the human body works?,"['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",biologist,Science,52
physiotherapist,"Biology, Chemistry, Physics","['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",physicist,14,Are you interested in understanding how the human body works?,"['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",physicist,Science,46
pharmacist,"Biology, Chemistry, Mathematics","['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",pharmacist,14,Are you interested in understanding how the human body works?,"['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",pharmacist,Healthcare,92
biomedical scientist,"Biology, Chemistry, Physics","['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",dentist,14,Are you interested in understanding how the human body works?,"['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",dentist,Healthcare,80
architect,"Mathematics, Technical Drawing, Physics","['architect', 'civil engineer', 'construction manager', 'urban planner']",architect,15,Do you enjoy building or designing physical structures?,"['architect', 'civil engineer', 'construction manager', 'urban planner']",architect,Engineering,95
civil engineer,"Mathematics, Physics, Technical Drawing","['architect', 'civil engineer', 'construction manager', 'urban planner']",civil engineer,15,Do you enjoy building or designing physical structures?,"['architect', 'civil engineer', 'construction manager', 'urban planner']",civil engineer,Engineering,90
construction manager,"Technical Drawing, Mathematics, Geography","['architect', 'civil engineer', 'construction manager', 'urban planner']",hotel manager,15,Do you enjoy building or designing physical structures?,"['architect', 'civil engineer', 'construction manager', 'urban planner']",hotel manager,Tourism,49
urban planner,"Geography, Economics, Mathematics","['architect', 'civil engineer', 'construction manager', 'urban planner']",urban planner,15,Do you enjoy building or designing physical structures?,"['architect', 'civil engineer', 'construction manager', 'urban planner']",urban planner,Engineering,94
police officer,"Civic Education, English, Geography","['police officer', 'firefighter', 'security officer', 'military personnel']",police officer,16,Would you like to protect others and enforce rules?,"['police officer', 'firefighter', 'security officer', 'military personnel']",police officer,Public Service,67
firefighter,"Physics, Chemistry","['police officer', 'firefighter', 'security officer', 'military personnel']",firefighter,16,Would you like to protect others and enforce rules?,"['police officer', 'firefighter', 'security officer', 'military personnel']",firefighter,Public Service,64
security officer,"English, Civic Education","['police officer', 'firefighter', 'security officer', 'military personnel']",customs officer,16,Would you like to protect others and enforce rules?,"['police officer', 'firefighter', 'security officer', 'military personnel']",customs officer,Public Service,73
military personnel,"Mathematics, Geography, Physics","['police officer', 'firefighter', 'security officer', 'military personnel']",pilot,16,Would you like to protect others and enforce rules?,"['police officer', 'firefighter', 'security officer', 'military personnel']",pilot,Transport,45
software developer,"Computer Science, Mathematics","['software developer', 'web developer', 'system analyst', 'ai engineer']",web developer,17,"Are you passionate about computers, coding, or software?","['software developer', 'web developer', 'system analyst', 'ai engineer']",web developer,Technology,81
web developer,"ICT, Computer Science","['software developer', 'web developer', 'system analyst', 'ai engineer']",web developer,17,"Are you passionate about computers, coding, or software?","['software developer', 'web developer', 'system analyst', 'ai engineer']",web developer,Technology,81
system analyst,"Computer Science, Mathematics","['software developer', 'web developer', 'system analyst', 'ai engineer']",cybersecurity analyst,17,"Are you passionate about computers, coding, or software?","['software developer', 'web developer', 'system analyst', 'ai engineer']",cybersecurity analyst,Technology,80
ai engineer,"Mathematics, Computer Science, Physics","['software developer', 'web developer', 'system analyst', 'ai engineer']",software engineer,17,"Are you passionate about computers, coding, or software?","['software developer', 'web developer', 'system analyst', 'ai engineer']",software engineer,Technology,89
research scientist,"Biology, Physics, Chemistry","['research scientist', 'lab technician', 'physicist', 'chemist']",dentist,18,Do you want to make discoveries in science or research?,"['research scientist', 'lab technician', 'physicist', 'chemist']",dentist,Healthcare,80
lab technician,"Biology, Chemistry","['research scientist', 'lab technician', 'physicist', 'chemist']",lab technician,18,Do you want to make discoveries in science or research?,"['research scientist', 'lab technician', 'physicist', 'chemist']",lab technician,Science,48
physicist,"Physics, Mathematics","['research scientist', 'lab technician', 'physicist', 'chemist']",physicist,18,Do you want to make discoveries in science or research?,"['research scientist', 'lab technician', 'physicist', 'chemist']",physicist,Science,46
chemist,"Chemistry, Mathematics","['research scientist', 'lab technician', 'physicist', 'chemist']",chemist,18,Do you want to make discoveries in science or research?,"['research scientist', 'lab technician', 'physicist', 'chemist']",chemist,Science,40
trade analyst,"Economics, Mathematics","['economist', 'trade analyst', 'entrepreneur', 'investment advisor']",cybersecurity analyst,19,"Are you interested in the economy, trade, or entrepreneurship?","['economist', 'trade analyst', 'entrepreneur', 'investment advisor']",cybersecurity analyst,Technology,80
investment advisor,"Economics, Business, Accounting","['economist', 'trade analyst', 'entrepreneur', 'investment advisor']",editor,19,"Are you interested in the economy, trade, or entrepreneurship?","['economist', 'trade analyst', 'entrepreneur', 'investment advisor']",editor,Media,52
digital marketer,"ICT, Business, English","['digital marketer', 'content creator', 'influencer', 'seo specialist']",carpenter,20,Do you enjoy using social media or creating online content?,"['digital marketer', 'content creator', 'influencer', 'seo specialist']",carpenter,Technical Trades,58
content creator,"English, ICT, Art","['digital marketer', 'content creator', 'influencer', 'seo specialist']",actor,20,Do you enjoy using social media or creating online content?,"['digital marketer', 'content creator', 'influencer', 'seo specialist']",actor,Creative Arts,55
influencer,"English, ICT","['digital marketer', 'content creator', 'influencer', 'seo specialist']",software engineer,20,Do you enjoy using social media or creating online content?,"['digital marketer', 'content creator', 'influencer', 'seo specialist']",software engineer,Technology,89
seo specialist,"Computer Science, ICT","['digital marketer', 'content creator', 'influencer', 'seo specialist']",it support specialist,20,Do you enjoy using social media or creating online content?,"['digital marketer', 'content creator', 'influencer', 'seo specialist']",it support specialist,Technology,80
veterinarian,"Biology, Chemistry","['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",veterinarian,21,Would you like to work with animals?,"['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",veterinarian,Healthcare,90
animal scientist,"Biology, Agriculture","['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",dentist,21,Would you like to work with animals?,"['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",dentist,Healthcare,80
zoologist,"Biology, Geography","['medical doctor', 'nurse', 'psychologist', 'counselor']",zoologist,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",zoologist,Science,58
wildlife conservationist,"Biology, Geography","['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",midwife,21,Would you like to work with animals?,"['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",midwife,Healthcare,81
makeup artist,"Art, Chemistry","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",dentist,22,"Are you interested in fashion, beauty, or personal care?","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",dentist,Healthcare,80
cosmetologist,"Biology, Chemistry","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",geologist,22,"Are you interested in fashion, beauty, or personal care?","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",geologist,Science,48
beauty consultant,"Biology, Entrepreneurship","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",accountant,22,"Are you interested in fashion, beauty, or personal care?","['fashion designer', 'makeup artist', 'cosmetologist', 'beauty consultant']",accountant,Finance,60
therapist,"Psychology, Biology","['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",pharmacist,14,Are you interested in understanding how the human body works?,"['biologist', 'physiotherapist', 'pharmacist', 'biomedical scientist']",pharmacist,Healthcare,92
life coach,"Psychology, English","['counselor', 'social worker', 'therapist', 'life coach']",chef,23,Do you like helping people with personal issues?,"['counselor', 'social worker', 'therapist', 'life coach']",chef,Hospitality,43
statistician,"Mathematics, Statistics","['statistician', 'mathematician', 'data scientist', 'actuary']",statistician,24,Do you enjoy working with numbers and patterns?,"['statistician', 'mathematician', 'data scientist', 'actuary']",statistician,Math & Statistics,55
mathematician,"Mathematics, Further Mathematics","['statistician', 'mathematician', 'data scientist', 'actuary']",mathematician,24,Do you enjoy working with numbers and patterns?,"['statistician', 'mathematician', 'data scientist', 'actuary']",mathematician,Math & Statistics,44
data scientist,"Mathematics, Computer Science, Statistics","['statistician', 'mathematician', 'data scientist', 'actuary']",environmental scientist,24,Do you enjoy working with numbers and patterns?,"['statistician', 'mathematician', 'data scientist', 'actuary']",environmental scientist,Science,51
actuary,"Mathematics, Economics, Statistics","['statistician', 'mathematician', 'data scientist', 'actuary']",actor,24,Do you enjoy working with numbers and patterns?,"['statistician', 'mathematician', 'data scientist', 'actuary']",actor,Creative Arts,55
tv presenter,"English, Literature","['tv presenter', 'actor', 'radio host', 'film director']",tv presenter,25,Would you like to work in the media or entertainment industry?,"['tv presenter', 'actor', 'radio host', 'film director']",tv presenter,Media,59
actor,"English, Drama","['tv presenter', 'actor', 'radio host', 'film director']",actor,25,Would you like to work in the media or entertainment industry?,"['tv presenter', 'actor', 'radio host', 'film director']",actor,Creative Arts,55
radio host,"English, Communication Skills","['tv presenter', 'actor', 'radio host', 'film director']",radio host,25,Would you like to work in the media or entertainment industry?,"['tv presenter', 'actor', 'radio host', 'film director']",radio host,Media,57
film director,"English, Art, ICT","['tv presenter', 'actor', 'radio host', 'film director']",actor,25,Would you like to work in the media or entertainment industry?,"['tv presenter', 'actor', 'radio host', 'film director']",actor,Creative Arts,55
conservationist,"Biology, Geography","['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",economist,21,Would you like to work with animals?,"['veterinarian', 'animal scientist', 'zoologist', 'wildlife conservationist']",economist,Finance,72
ecologist,"Biology, Geography","['medical doctor', 'nurse', 'psychologist', 'counselor']",geologist,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",geologist,Science,48
climate analyst,"Geography, Environmental Science","['environmental scientist', 'conservationist', 'ecologist', 'climate analyst']",data analyst,26,Are you passionate about the environment and sustainability?,"['environmental scientist', 'conservationist', 'ecologist', 'climate analyst']",data analyst,Technology,80
robotics technician,"Physics, Computer Science, Mathematics","['electronics engineer', 'repair technician', 'robotics technician', 'hardware engineer']",lab technician,27,Do you enjoy making or fixing electronic gadgets?,"['electronics engineer', 'repair technician', 'robotics technician', 'hardware engineer']",lab technician,Science,48
hardware engineer,"Physics, Computer Science, Mathematics","['electronics engineer', 'repair technician', 'robotics technician', 'hardware engineer']",software engineer,27,Do you enjoy making or fixing electronic gadgets?,"['electronics engineer', 'repair technician', 'robotics technician', 'hardware engineer']",software engineer,Technology,89
primary school teacher,Any subject studied at A-level (match to that subject),"['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",primary school teacher,28,Do you want to help children learn and grow?,"['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",primary school teacher,Education,87
child psychologist,"Psychology, Biology","['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",psychologist,28,Do you want to help children learn and grow?,"['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",psychologist,Social Services,73
daycare worker,"Psychology, English","['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",ngo worker,28,Do you want to help children learn and grow?,"['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",ngo worker,Social Services,63
educational consultant,"Education, English, ICT","['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",accountant,28,Do you want to help children learn and grow?,"['primary school teacher', 'child psychologist', 'daycare worker', 'educational consultant']",accountant,Finance,60
astronomer,"Physics, Mathematics","['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",construction worker,29,Would you like to explore space or aviation?,"['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",construction worker,Construction,52
aerospace engineer,"Mathematics, Physics","['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",devops engineer,29,Would you like to explore space or aviation?,"['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",devops engineer,Technology,77
pilot,"Mathematics, Physics, Geography","['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",pilot,29,Would you like to explore space or aviation?,"['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",pilot,Transport,45
satellite technician,"Physics, Computer Science","['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",lab technician,29,Would you like to explore space or aviation?,"['astronomer', 'aerospace engineer', 'pilot', 'satellite technician']",lab technician,Science,48
machine learning engineer,"Computer Science, Mathematics, Statistics","['ai engineer', 'robotics developer', 'machine learning engineer', 'automation specialist']",civil engineer,30,Are you interested in using AI or robotics to solve problems?,"['ai engineer', 'robotics developer', 'machine learning engineer', 'automation specialist']",civil engineer,Engineering,90
automation specialist,"Computer Science, Physics, Mathematics","['ai engineer', 'robotics developer', 'machine learning engineer', 'automation specialist']",it support specialist,30,Are you interested in using AI or robotics to solve problems?,"['ai engineer', 'robotics developer', 'machine learning engineer', 'automation specialist']",it support specialist,Technology,80
